FVC file = MER_Scen2_20170701_20200701.fvc, Simulation Execution: 06/12/2020 11:56:13
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.32046598300000E+06, 0.60583307300000E+07,  0.2984759E+00,  0.0000000E+00,  0.9538099E+03,        5118,        5133,           8,           8
, 0.32055777200000E+06, 0.60583700500000E+07, -0.1229491E+00,  0.9985631E+02,  0.9538099E+03,        5128,        5134,           8,           8
, 0.32061738600000E+06, 0.60584647200000E+07, -0.8322049E-02,  0.2117323E+03,  0.9538099E+03,        5126,        5143,           8,           8
, 0.32066969000000E+06, 0.60585425500000E+07,  0.1512062E+00,  0.3055045E+03,  0.9538099E+03,        5136,        5142,           8,           8
, 0.32081117300000E+06, 0.60585808000000E+07,  0.1596415E+00,  0.4520667E+03,  0.9538099E+03,        5135,        5138,           8,           8
, 0.32081010100000E+06, 0.60587357500000E+07, -0.2010194E-01,  0.6070204E+03,  0.9538099E+03,        5121,        5137,           8,           8
, 0.32082859300000E+06, 0.60587743100000E+07, -0.5836810E+00,  0.6497852E+03,  0.9538099E+03,        5123,        5139,           8,           8
, 0.32084708600000E+06, 0.60588128800000E+07, -0.1071200E+01,  0.6925594E+03,  0.9538099E+03,        5124,        5140,           8,           8
, 0.32086557900000E+06, 0.60588514400000E+07, -0.1700411E+01,  0.7353247E+03,  0.9538099E+03,        5129,        5141,           8,           8
, 0.32088407100000E+06, 0.60588900000000E+07, -0.1714682E+01,  0.7780895E+03,  0.9538099E+03,        5130,        5144,           8,           8
, 0.32090256400000E+06, 0.60589285600000E+07, -0.4424057E+00,  0.8208547E+03,  0.9538099E+03,        5131,        5132,           8,           8
, 0.32095668800000E+06, 0.60590500000000E+07,  0.2749197E+00,  0.9538099E+03,  0.9538099E+03,,,           8,           8
, 0.35513567600000E+06, 0.60257064000000E+07, -0.2664384E+00,  0.0000000E+00,  0.1766039E+03,       13612,       13619,           9,           9
, 0.35516909700000E+06, 0.60257178300000E+07, -0.5857487E+00,  0.3532150E+02,  0.1766039E+03,       13613,       13620,           9,           9
, 0.35520251900000E+06, 0.60257292500000E+07, -0.8682708E+00,  0.7064070E+02,  0.1766039E+03,       13614,       13618,           9,           9
, 0.35523594100000E+06, 0.60257406800000E+07, -0.1537385E+00,  0.1059632E+03,  0.1766039E+03,       13611,       13617,           9,           9
, 0.35526936200000E+06, 0.60257521100000E+07,  0.1134315E+01,  0.1412846E+03,  0.1766039E+03,       13610,       13615,           9,           9
, 0.35530278400000E+06, 0.60257635300000E+07,  0.4240191E+00,  0.1766039E+03,  0.1766039E+03,,,           9,           9
, 0.37554260000000E+06, 0.59992185000000E+07,  0.2649397E-02,  0.0000000E+00,  0.1427676E+04,       25006,       25009,          10,          10
, 0.37575466700000E+06, 0.59993264200000E+07, -0.1555919E+01,  0.2379478E+03,  0.1427676E+04,       24971,       25008,          10,          10
, 0.37596673300000E+06, 0.59994343300000E+07, -0.1924936E+01,  0.4758901E+03,  0.1427676E+04,       24972,       25010,          10,          10
, 0.37617880000000E+06, 0.59995422500000E+07, -0.1973718E+01,  0.7138379E+03,  0.1427676E+04,       24973,       25011,          10,          10
, 0.37639086700000E+06, 0.59996501700000E+07, -0.1266847E+01,  0.9517856E+03,  0.1427676E+04,       25012,       25013,          10,          10
, 0.37660293300000E+06, 0.59997580800000E+07,  0.1365066E+00,  0.1189728E+04,  0.1427676E+04,       25016,       25057,          10,          10
, 0.37681500000000E+06, 0.59998660000000E+07,  0.1509702E+01,  0.1427676E+04,  0.1427676E+04,,,          10,          10
, 0.37766432800000E+06, 0.60006432000000E+07,  0.2767897E+01,  0.0000000E+00,  0.3182283E+03,       25412,       25436,          11,          11
, 0.37766954200000E+06, 0.60006101200000E+07,  0.1549106E+01,  0.3348839E+02,  0.3182283E+03,       25437,       25439,          11,          11
, 0.37768206400000E+06, 0.60005806800000E+07,  0.6347153E+00,  0.6548080E+02,  0.3182283E+03,       25440,       25461,          11,          11
, 0.37769157500000E+06, 0.60005496600000E+07,  0.6996838E+00,  0.9792613E+02,  0.3182283E+03,       25448,       25450,          11,          11
, 0.37770399400000E+06, 0.60005190900000E+07,  0.5908260E+00,  0.1309224E+03,  0.3182283E+03,       25427,       25449,          11,          11
, 0.37770829100000E+06, 0.60004879000000E+07,  0.7366239E+00,  0.1624070E+03,  0.3182283E+03,       25426,       25431,          11,          11
, 0.37771972600000E+06, 0.60004662900000E+07,  0.1203480E+01,  0.1868560E+03,  0.3182283E+03,       25405,       25430,          11,          11
, 0.37773116100000E+06, 0.60004446800000E+07,  0.1285080E+01,  0.2113050E+03,  0.3182283E+03,       25403,       25428,          11,          11
, 0.37774259500000E+06, 0.60004230600000E+07,  0.1613354E+01,  0.2357623E+03,  0.3182283E+03,       25404,       25406,          11,          11
, 0.37774710300000E+06, 0.60003883000000E+07,  0.1263719E+01,  0.2708134E+03,  0.3182283E+03,       25367,       25407,          11,          11
, 0.37775832800000E+06, 0.60003615000000E+07,  0.1647209E+01,  0.2998692E+03,  0.3182283E+03,       25369,       25408,          11,          11
, 0.37776972900000E+06, 0.60003471100000E+07,  0.1406607E+01,  0.3182283E+03,  0.3182283E+03,,,          11,          11
, 0.35526640200000E+06, 0.60258052500000E+07,  0.2681479E+01,  0.0000000E+00,  0.1681267E+03,       13605,       13610,          12,          12
, 0.35523283200000E+06, 0.60258071900000E+07,  0.1235532E+01,  0.3362601E+02,  0.1681267E+03,       13609,       13611,          12,          12
, 0.35519926200000E+06, 0.60258091200000E+07, -0.9985032E+00,  0.6725145E+02,  0.1681267E+03,       13608,       13614,          12,          12
, 0.35516569300000E+06, 0.60258110500000E+07, -0.8441368E+00,  0.1008759E+03,  0.1681267E+03,       13607,       13613,          12,          12
, 0.35513212300000E+06, 0.60258129800000E+07, -0.2229321E+00,  0.1345013E+03,  0.1681267E+03,       13606,       13612,          12,          12
, 0.35509855300000E+06, 0.60258149100000E+07,  0.1254061E+00,  0.1681267E+03,  0.1681267E+03,,,          12,          12
, 0.35528185000000E+06, 0.60258594700000E+07,  0.2814434E+01,  0.0000000E+00,  0.1859907E+03,       13604,       13605,          13,          13
, 0.35524740100000E+06, 0.60258735100000E+07, -0.2961433E+00,  0.3720020E+02,  0.1859907E+03,       13603,       13609,          13,          13
, 0.35521295300000E+06, 0.60258875400000E+07, -0.1236591E+01,  0.7439571E+02,  0.1859907E+03,       13602,       13608,          13,          13
, 0.35517850500000E+06, 0.60259015800000E+07, -0.7602644E+00,  0.1115950E+03,  0.1859907E+03,       13601,       13607,          13,          13
, 0.35514405600000E+06, 0.60259156200000E+07, -0.1234989E+00,  0.1487952E+03,  0.1859907E+03,       13599,       13606,          13,          13
, 0.35510960800000E+06, 0.60259296500000E+07,  0.4000653E+00,  0.1859907E+03,  0.1859907E+03,,,          13,          13
, 0.35127708400000E+06, 0.60320879500000E+07,  0.9502828E+00,  0.0000000E+00,  0.7499011E+03,       11285,       11333,          14,          14
, 0.35127502200000E+06, 0.60320308700000E+07,  0.2649041E+00,  0.5711723E+02,  0.7499011E+03,       11286,       11303,          14,          14
, 0.35126330400000E+06, 0.60319759800000E+07,  0.1425572E+00,  0.1132441E+03,  0.7499011E+03,       11259,       11302,          14,          14
, 0.35124009000000E+06, 0.60319237900000E+07, -0.1690000E-01,  0.1703640E+03,  0.7499011E+03,       11260,       11261,          14,          14
, 0.35121678300000E+06, 0.60318716500000E+07, -0.1843978E+00,  0.2274762E+03,  0.7499011E+03,       11224,       11225,          14,          14
, 0.35118662200000E+06, 0.60318231500000E+07, -0.2000989E+00,  0.2845895E+03,  0.7499011E+03,       11188,       11220,          14,          14
, 0.35117061800000E+06, 0.60317987900000E+07, -0.2435508E+00,  0.3137363E+03,  0.7499011E+03,       11185,       11190,          14,          14
, 0.35115461300000E+06, 0.60317744400000E+07, -0.2733919E+00,  0.3428753E+03,  0.7499011E+03,       11146,       11171,          14,          14
, 0.35113860800000E+06, 0.60317500800000E+07, -0.2652341E+00,  0.3720227E+03,  0.7499011E+03,       11131,       11140,          14,          14
, 0.35112260400000E+06, 0.60317257300000E+07, -0.1977288E+00,  0.4011612E+03,  0.7499011E+03,       11093,       11139,          14,          14
, 0.35110659900000E+06, 0.60317013800000E+07, -0.1704855E+00,  0.4303002E+03,  0.7499011E+03,       11092,       11138,          14,          14
, 0.35109059500000E+06, 0.60316770200000E+07, -0.1929740E+00,  0.4594470E+03,  0.7499011E+03,       11088,       11135,          14,          14
, 0.35107459000000E+06, 0.60316526700000E+07, -0.1964691E+00,  0.4885860E+03,  0.7499011E+03,       11085,       11132,          14,          14
, 0.35105858600000E+06, 0.60316283100000E+07, -0.2130998E+00,  0.5177328E+03,  0.7499011E+03,       11133,       11134,          14,          14
, 0.35103863400000E+06, 0.60315535400000E+07,  0.1508890E-01,  0.5951191E+03,  0.7499011E+03,       11176,       11177,          14,          14
, 0.35101868200000E+06, 0.60314787600000E+07,  0.5655395E+00,  0.6725151E+03,  0.7499011E+03,       11213,       11214,          14,          14
, 0.35099873100000E+06, 0.60314039900000E+07,  0.1402063E+01,  0.7499011E+03,  0.7499011E+03,,,          14,          14
