id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
        7816,  0.3143853E+06,  0.6062517E+07,    10.286,    13.223
        7817,  0.3144291E+06,  0.6062474E+07,     3.838,     5.001
        7818,  0.3144022E+06,  0.6062548E+07,     9.524,    11.641
        7819,  0.3144485E+06,  0.6062507E+07,     3.399,     4.118
        7820,  0.3144192E+06,  0.6062578E+07,     9.402,    11.275
        7821,  0.3144679E+06,  0.6062539E+07,     3.153,     3.698
        7822,  0.3144149E+06,  0.6062253E+07,    13.431,    24.779
        7823,  0.3144324E+06,  0.6062150E+07,    11.576,    17.112
        7824,  0.3144717E+06,  0.6062203E+07,    12.412,    18.964
        7825,  0.3144458E+06,  0.6062359E+07,    12.914,    22.267
        7826,  0.3144923E+06,  0.6062325E+07,    11.304,    18.525
        7827,  0.3144575E+06,  0.6062042E+07,    11.369,    15.888
        7828,  0.3145064E+06,  0.6062153E+07,    12.825,    18.677
        7829,  0.3145164E+06,  0.6062046E+07,    10.064,    14.115
        7830,  0.3144349E+06,  0.6061939E+07,    13.938,    19.653
        7831,  0.3145067E+06,  0.6061988E+07,    11.961,    16.716
        7832,  0.3144248E+06,  0.6061838E+07,    13.126,    19.829
        7833,  0.3144844E+06,  0.6061885E+07,    11.454,    16.368
        7834,  0.3144704E+06,  0.6062429E+07,    11.079,    15.278
        7835,  0.3145060E+06,  0.6062378E+07,     4.990,     7.151
        7836,  0.3144923E+06,  0.6062464E+07,     9.848,    12.438
        7837,  0.3145306E+06,  0.6062414E+07,     4.252,     5.394
        7838,  0.3142203E+06,  0.6061538E+07,    16.567,  1105.855
        7839,  0.3143396E+06,  0.6061567E+07,    14.559,   620.465
        7840,  0.3144232E+06,  0.6061729E+07,    14.417,    30.456
        7841,  0.3144840E+06,  0.6061776E+07,    13.226,    20.919
        7842,  0.3144094E+06,  0.6061626E+07,    17.014,   554.828
        7843,  0.3144829E+06,  0.6061675E+07,    12.977,    30.963
        7844,  0.3144617E+06,  0.6061576E+07,    14.680,   586.887
