id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       42225,  0.3721203E+06,  0.6008793E+07,    11.799,    15.059
       42226,  0.3719801E+06,  0.6008723E+07,    10.556,    12.864
       42227,  0.3720485E+06,  0.6008706E+07,    12.744,    16.122
       42228,  0.3721910E+06,  0.6008937E+07,    17.672,    23.419
       42229,  0.3722605E+06,  0.6008990E+07,    16.484,    26.801
       42230,  0.3722075E+06,  0.6008845E+07,    12.290,    16.006
       42231,  0.3722423E+06,  0.6008885E+07,    11.566,    15.684
       42232,  0.3723736E+06,  0.6008972E+07,    16.186,    28.026
       42233,  0.3723118E+06,  0.6008937E+07,    13.896,    19.831
       42234,  0.3724770E+06,  0.6009083E+07,    28.872,   296.527
       42235,  0.3724381E+06,  0.6008998E+07,    18.093,    37.364
       42236,  0.3724970E+06,  0.6009014E+07,    15.154,    28.372
       42237,  0.3725637E+06,  0.6009085E+07,    16.160,   268.339
       42238,  0.3723686E+06,  0.6008909E+07,    14.246,    20.001
       42239,  0.3724893E+06,  0.6008960E+07,    14.492,    22.767
       42240,  0.3724725E+06,  0.6008892E+07,    13.027,    18.269
       42241,  0.3718267E+06,  0.6008505E+07,    10.154,    12.011
       42242,  0.3718086E+06,  0.6008563E+07,     9.049,    10.506
       42243,  0.3706541E+06,  0.6007304E+07,    13.668,    22.177
       42244,  0.3705578E+06,  0.6007280E+07,    17.397,   993.927
       42245,  0.3706142E+06,  0.6007255E+07,    15.075,    48.172
       42246,  0.3707605E+06,  0.6007320E+07,    14.136,    19.152
       42247,  0.3708599E+06,  0.6007347E+07,    11.895,    14.762
       42248,  0.3708244E+06,  0.6007293E+07,    12.317,    16.171
       42249,  0.3706756E+06,  0.6007240E+07,    14.752,    25.742
       42250,  0.3707332E+06,  0.6007234E+07,    14.955,    22.001
       42251,  0.3709363E+06,  0.6007395E+07,    11.565,    14.006
       42252,  0.3710240E+06,  0.6007455E+07,     8.488,     9.956
       42253,  0.3709948E+06,  0.6007395E+07,     9.809,    11.580
       42254,  0.3709304E+06,  0.6007293E+07,    12.277,    15.217
       42255,  0.3709729E+06,  0.6007345E+07,    10.964,    13.365
       42256,  0.3711406E+06,  0.6007477E+07,    10.050,    11.524
       42257,  0.3711022E+06,  0.6007418E+07,    11.434,    13.096
       42258,  0.3712418E+06,  0.6007501E+07,    11.191,    12.648
       42259,  0.3712116E+06,  0.6007436E+07,     9.097,    10.177
       42260,  0.3713325E+06,  0.6007559E+07,    10.256,    11.594
       42261,  0.3713273E+06,  0.6007461E+07,     9.366,    10.416
       42262,  0.3715871E+06,  0.6007873E+07,    12.476,    16.433
       42263,  0.3716012E+06,  0.6007949E+07,    14.486,    19.262
       42264,  0.3715748E+06,  0.6007798E+07,    14.631,    19.603
       42265,  0.3714913E+06,  0.6007730E+07,    10.767,    12.974
       42266,  0.3715647E+06,  0.6007728E+07,    11.965,    15.053
       42267,  0.3716601E+06,  0.6007841E+07,    15.400,    21.148
       42268,  0.3716522E+06,  0.6007771E+07,    12.144,    16.357
       42269,  0.3714112E+06,  0.6007646E+07,    10.374,    11.851
       42270,  0.3714825E+06,  0.6007646E+07,    12.050,    14.037
       42271,  0.3714078E+06,  0.6007556E+07,     9.471,    10.633
       42272,  0.3717078E+06,  0.6007960E+07,    12.079,    16.184
       42273,  0.3716742E+06,  0.6007917E+07,    12.321,    16.577
       42274,  0.3718609E+06,  0.6008083E+07,    12.667,    15.736
       42275,  0.3718034E+06,  0.6007994E+07,    12.824,    16.910
       42276,  0.3718707E+06,  0.6007997E+07,    12.303,    15.542
       42277,  0.3719228E+06,  0.6008170E+07,    11.425,    14.287
       42278,  0.3719259E+06,  0.6008092E+07,    12.760,    16.033
       42279,  0.3717372E+06,  0.6007905E+07,    13.765,    18.962
       42280,  0.3718078E+06,  0.6007906E+07,    13.428,    17.630
       42281,  0.3718649E+06,  0.6008336E+07,     9.303,    11.006
       42282,  0.3719197E+06,  0.6008246E+07,    14.915,    19.722
       42283,  0.3719145E+06,  0.6008322E+07,    11.888,    15.246
       42284,  0.3718644E+06,  0.6008447E+07,     9.926,    11.693
       42285,  0.3718999E+06,  0.6008380E+07,    10.631,    12.763
       42286,  0.3718605E+06,  0.6008557E+07,    10.007,    11.867
       42287,  0.3719256E+06,  0.6008545E+07,    10.282,    12.546
       42288,  0.3719241E+06,  0.6008480E+07,    11.532,    14.129
       42289,  0.3719978E+06,  0.6008163E+07,    14.745,    20.030
       42290,  0.3720048E+06,  0.6008267E+07,    20.763,    38.227
       42291,  0.3720264E+06,  0.6008213E+07,    45.866,  4893.173
       42292,  0.3705350E+06,  0.6007175E+07,    22.613,  1677.908
       42293,  0.3705794E+06,  0.6007216E+07,    17.612,   993.371
       42294,  0.3704962E+06,  0.6007118E+07,    30.955,  3558.869
       42295,  0.3704449E+06,  0.6007065E+07,    21.012,  3549.537
       42296,  0.3705914E+06,  0.6007150E+07,    19.622,   574.001
       42297,  0.3705473E+06,  0.6007052E+07,    20.481,  1138.985
       42298,  0.3705997E+06,  0.6007081E+07,    17.224,   565.760
       42299,  0.3718907E+06,  0.6008654E+07,    10.508,    12.488
       42300,  0.3719075E+06,  0.6008603E+07,    10.117,    12.306
       42301,  0.3719557E+06,  0.6008642E+07,    12.679,    15.629
       42302,  0.3721984E+06,  0.6008771E+07,    14.262,    18.221
       42303,  0.3721177E+06,  0.6008702E+07,    11.818,    15.367
       42304,  0.3721850E+06,  0.6008709E+07,    14.659,    19.148
       42305,  0.3722719E+06,  0.6008835E+07,    13.849,    17.971
       42306,  0.3722799E+06,  0.6008750E+07,    10.622,    13.627
       42307,  0.3720241E+06,  0.6008624E+07,    11.856,    15.402
       42308,  0.3721201E+06,  0.6008615E+07,    12.757,    17.681
