FVC file = MER_Scen2_20170701_20200701.fvc, Simulation Execution: 06/12/2020 11:56:13
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.31387575700000E+06, 0.60565735833333E+07, -0.2400000E+02,           1,  0.1976978E+05,         175
, 0.31398261023017E+06, 0.60566666311862E+07, -0.2400000E+02,           1,  0.3867582E+05,         176
, 0.31412074700676E+06, 0.60565254963009E+07, -0.2400000E+02,           1,  0.3760783E+05,         177
, 0.30093437952507E+06, 0.60636934983932E+07, -0.1952422E+02,           1,  0.3284681E+05,         178
, 0.30110521233333E+06, 0.60635281833333E+07, -0.2200000E+02,           1,  0.1676703E+05,         179
, 0.30123529108873E+06, 0.60634341269374E+07, -0.2200000E+02,           1,  0.3408432E+05,         180
, 0.30112364197554E+06, 0.60636734301075E+07, -0.1955929E+02,           1,  0.3293598E+05,         181
, 0.30141120319216E+06, 0.60633374308137E+07, -0.2182735E+02,           1,  0.3247647E+05,         182
, 0.30158656203514E+06, 0.60632493672339E+07, -0.2132735E+02,           1,  0.3412918E+05,         183
, 0.30176269028258E+06, 0.60631526046762E+07, -0.2100000E+02,           1,  0.3018565E+05,         184
, 0.30193687022125E+06, 0.60630697811220E+07, -0.2100000E+02,           1,  0.3317963E+05,         185
, 0.30211500139232E+06, 0.60629767143253E+07, -0.2100000E+02,           1,  0.3328362E+05,         186
, 0.30229453560524E+06, 0.60628786110648E+07, -0.2100000E+02,           1,  0.3208190E+05,         187
, 0.30247515186957E+06, 0.60627908586493E+07, -0.2165363E+02,           1,  0.3158519E+05,         188
, 0.30264890401824E+06, 0.60627024035869E+07, -0.2275881E+02,           1,  0.2880338E+05,         189
, 0.30280741538909E+06, 0.60626137710338E+07, -0.2360519E+02,           1,  0.3105848E+05,         190
, 0.30297559976998E+06, 0.60625326671541E+07, -0.2298708E+02,           1,  0.3318304E+05,         191
, 0.30314672283375E+06, 0.60624446472489E+07, -0.2298708E+02,           1,  0.3308505E+05,         192
, 0.30331611323858E+06, 0.60623559109317E+07, -0.2353935E+02,           1,  0.3253502E+05,         193
, 0.30348613947849E+06, 0.60622675197732E+07, -0.2255271E+02,           1,  0.3259439E+05,         194
, 0.30365320041560E+06, 0.60621784372335E+07, -0.2251336E+02,           1,  0.3132144E+05,         195
, 0.30381749812698E+06, 0.60620946679637E+07, -0.2300000E+02,           1,  0.3103137E+05,         196
, 0.30398376039212E+06, 0.60620103509263E+07, -0.2300000E+02,           1,  0.3389598E+05,         197
, 0.30415980109530E+06, 0.60619131122357E+07, -0.2266888E+02,           1,  0.3684675E+05,         198
, 0.30432524560171E+06, 0.60618195351412E+07, -0.2216888E+02,           1,  0.2745124E+05,         199
, 0.30448790789254E+06, 0.60617520894094E+07, -0.2211822E+02,           1,  0.2533961E+05,         200
, 0.30466109090734E+06, 0.60617595229947E+07, -0.2210577E+02,           1,  0.3050590E+05,         201
, 0.30468476133333E+06, 0.60616286433333E+07, -0.2315763E+02,           1,  0.1619602E+05,         202
, 0.30482299797710E+06, 0.60615809239377E+07, -0.2387637E+02,           1,  0.3040526E+05,         203
, 0.30498209035690E+06, 0.60615000005679E+07, -0.2462637E+02,           1,  0.2980422E+05,         204
, 0.30513430007159E+06, 0.60614231811477E+07, -0.2500000E+02,           1,  0.2627868E+05,         205
, 0.30529788790761E+06, 0.60613455116779E+07, -0.2500000E+02,           1,  0.2672928E+05,         206
, 0.30546562662374E+06, 0.60612580465753E+07, -0.2500000E+02,           1,  0.3113035E+05,         207
, 0.30559927166667E+06, 0.60612258200000E+07, -0.2500000E+02,           1,  0.1566490E+05,         208
, 0.30565842800000E+06, 0.60611242500000E+07, -0.2500000E+02,           1,  0.2012542E+05,         209
, 0.30576475166667E+06, 0.60611401000000E+07, -0.2500000E+02,           1,  0.1614511E+05,         210
, 0.30586259243391E+06, 0.60610574468106E+07, -0.2499378E+02,           1,  0.2754547E+05,         211
, 0.30601368845731E+06, 0.60609814970061E+07, -0.2459672E+02,           1,  0.2777358E+05,         212
