id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       12527,  0.3297179E+06,  0.6052000E+07,    12.016,    14.433
       12528,  0.3297398E+06,  0.6051936E+07,     7.694,     9.058
       12529,  0.3297879E+06,  0.6052070E+07,    13.079,    16.125
       12530,  0.3298076E+06,  0.6051988E+07,     8.007,     9.592
       12531,  0.3298646E+06,  0.6052153E+07,    13.222,    17.097
       12532,  0.3298765E+06,  0.6052080E+07,    11.589,    14.416
       12533,  0.3299487E+06,  0.6052228E+07,    14.222,    19.764
       12534,  0.3299554E+06,  0.6052157E+07,    12.847,    16.961
       12535,  0.3299899E+06,  0.6052331E+07,    14.067,    22.588
       12536,  0.3300437E+06,  0.6052226E+07,    13.817,    20.232
       12537,  0.3300430E+06,  0.6052294E+07,    15.796,    26.105
       12538,  0.3299941E+06,  0.6052458E+07,    18.564,   809.373
       12539,  0.3300402E+06,  0.6052360E+07,    15.978,    30.208
       12540,  0.3300463E+06,  0.6052424E+07,    17.381,   365.972
       12541,  0.3300533E+06,  0.6052486E+07,    19.387,  2107.041
       12542,  0.3294863E+06,  0.6051667E+07,    11.805,    14.496
       12543,  0.3294211E+06,  0.6051584E+07,    11.428,    14.874
       12544,  0.3294974E+06,  0.6051598E+07,     9.380,    11.646
       12545,  0.3295549E+06,  0.6051718E+07,    11.466,    13.837
       12546,  0.3295678E+06,  0.6051650E+07,     8.632,    10.344
       12547,  0.3293538E+06,  0.6051472E+07,    14.224,    23.558
       12548,  0.3294338E+06,  0.6051489E+07,    14.626,    20.127
       12549,  0.3296236E+06,  0.6051770E+07,    11.352,    13.586
       12550,  0.3296383E+06,  0.6051703E+07,     8.290,     9.803
       12551,  0.3296922E+06,  0.6051821E+07,    11.378,    13.568
       12552,  0.3297088E+06,  0.6051755E+07,     8.089,     9.507
       12553,  0.3292620E+06,  0.6051377E+07,    72.555,  4998.891
       12554,  0.3293506E+06,  0.6051385E+07,    26.453,    42.085
       12555,  0.3292655E+06,  0.6051307E+07,    72.590,  4998.862
       12556,  0.3292067E+06,  0.6051277E+07,    93.163,  4999.297
       12557,  0.3297609E+06,  0.6051873E+07,    11.556,    13.790
       12558,  0.3297792E+06,  0.6051808E+07,     7.990,     9.381
       12559,  0.3298295E+06,  0.6051925E+07,    11.993,    14.424
       12560,  0.3298497E+06,  0.6051860E+07,     8.028,     9.480
       12561,  0.3298962E+06,  0.6051998E+07,    12.889,    15.935
       12562,  0.3299202E+06,  0.6051913E+07,     8.322,    10.023
       12563,  0.3299673E+06,  0.6052084E+07,    13.389,    17.365
