ID,LND_phreatic,ASS_pass0_lay1,ASS_anc0_lay1,ASS_uzaass,ASS_szaass
7655,0.0901,0.2259,0.2194,0.0000,-5.5844
7656,0.0000,0.2000,0.2000,0.0000,0.0000
7657,0.0000,0.2000,0.2000,0.0000,0.0000
7658,0.0896,0.2257,0.2193,0.0000,-5.5529
7659,0.1071,0.2809,0.1592,0.4256,-11.2744
7660,0.0074,0.3649,0.1921,0.7752,-11.1737
7661,0.0000,0.4259,0.2342,0.8421,-10.7999
7662,0.0000,0.4628,0.2632,0.7817,-10.7996
7663,0.0000,0.3316,0.5410,0.8304,-10.7998
7664,0.0000,0.3568,0.3533,0.8642,-10.8000
7665,0.0000,0.3061,0.4796,0.7295,-10.7994
7666,0.0000,0.2942,0.6178,0.7666,-9.6902
7667,0.0000,0.3000,0.6620,0.8252,-10.3820
7668,0.0000,0.2798,0.6888,0.7295,-8.8406
7669,0.0000,0.3289,0.3719,0.6996,-8.4740
7670,0.0000,0.3825,0.3227,0.7635,-9.2446
7671,0.0000,0.3442,0.3731,0.7678,-9.2999
7672,0.2252,0.4726,0.3061,0.0000,-9.3852
7673,0.0000,0.2000,0.2000,0.0000,0.0000
7674,0.0000,0.2000,0.2000,0.0000,0.0000
7675,0.0000,0.2000,0.2000,0.0000,0.0000
7676,0.0000,0.4118,0.3199,0.2974,-3.5997
7677,0.0000,0.4245,0.6059,0.8229,-9.9623
7678,0.0000,0.6044,0.6755,0.8872,-10.7381
7679,0.0000,0.7821,0.5387,0.8924,-10.8000
7680,0.0000,0.5107,0.3721,0.5344,-6.4673
7681,0.0000,0.3575,0.3781,0.8303,-10.0572
7682,0.2322,0.4767,0.2535,0.0000,-45.0000
7683,0.2322,0.4916,0.2410,0.0000,-45.0000
7684,0.0000,0.2000,0.2000,0.0000,0.0000
7685,0.0000,0.2000,0.2000,0.0000,0.0000
7686,0.0000,0.2000,0.2000,0.0000,0.0000
7687,0.0000,0.2000,0.2000,0.0000,0.0000
7688,0.0000,0.2000,0.2000,0.0000,0.0000
7689,0.0000,0.2000,0.2000,0.0000,0.0000
7690,0.0000,0.2000,0.2000,0.0000,0.0000
7691,0.0000,0.2000,0.2000,0.0000,0.0000
7692,0.0000,0.2000,0.2000,0.0000,0.0000
7693,0.0000,0.2000,0.2000,0.0000,0.0000
7694,0.0000,0.2000,0.2000,0.0000,0.0000
7695,0.0000,0.2000,0.2000,0.0000,0.0000
7696,0.0000,0.2000,0.2000,0.0000,0.0000
7697,0.0000,0.2000,0.2000,0.0000,0.0000
7698,0.0000,0.1971,0.1941,0.0341,-0.3043
7699,0.0000,0.2000,0.2000,0.0000,0.0000
7700,0.0000,0.1892,0.1782,0.1264,-1.1281
7701,0.0000,0.2000,0.2000,0.0000,0.0000
7702,0.0000,0.1818,0.1631,0.2144,-1.9128
7703,0.0000,0.2000,0.2000,0.0000,0.0000
